,0
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster016,8
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster017,7
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster018,11
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster019,6
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster020,9
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster021,10
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster022,14
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster001,8
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster002,1
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster003,2
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster004,3
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster005,4
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster006,5
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster007,15
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster008,6
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster009,4
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster010,7
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster011,8
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster012,9
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster013,10
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster014,6
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster015,4
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster016,8
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster017,7
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster018,11
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster019,6
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster020,9
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster021,10
ncbi_tid|1248902|ref|NZ_CP006027.1_cluster022,14
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster001,8
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster002,1
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster003,2
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster004,3
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster005,4
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster006,5
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster007,8
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster008,15
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster009,6
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster010,4
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster011,8
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster012,9
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster013,10
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster014,6
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster015,4
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster016,8
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster017,7
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster018,11
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster019,6
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster020,9
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster021,10
ncbi_tid|1248903|ref|NZ_CP007133.1_cluster022,14
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster001,8
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster002,1
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster003,2
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster004,3
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster005,4
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster006,5
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster007,8
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster008,15
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster009,6
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster010,4
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster011,8
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster012,9
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster013,10
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster014,6
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster015,4
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster016,8
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster017,7
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster018,11
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster019,6
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster020,9
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster021,10
ncbi_tid|1248915|ref|NZ_CP006262.1_cluster022,14
ncbi_tid|1274814|ref|NC_020163.1_cluster001,17
ncbi_tid|1274814|ref|NC_020163.1_cluster002,1
ncbi_tid|1274814|ref|NC_020163.1_cluster003,2
ncbi_tid|1274814|ref|NC_020163.1_cluster004,3
ncbi_tid|1274814|ref|NC_020163.1_cluster005,4
ncbi_tid|1274814|ref|NC_020163.1_cluster006,5
ncbi_tid|1274814|ref|NC_020163.1_cluster007,6
ncbi_tid|1274814|ref|NC_020163.1_cluster008,4
ncbi_tid|1274814|ref|NC_020163.1_cluster009,7
ncbi_tid|1274814|ref|NC_020163.1_cluster010,8
ncbi_tid|1274814|ref|NC_020163.1_cluster011,9
ncbi_tid|1274814|ref|NC_020163.1_cluster012,10
ncbi_tid|1274814|ref|NC_020163.1_cluster013,6
ncbi_tid|1274814|ref|NC_020163.1_cluster014,1
ncbi_tid|1274814|ref|NC_020163.1_cluster015,4
ncbi_tid|1274814|ref|NC_020163.1_cluster016,8
ncbi_tid|1274814|ref|NC_020163.1_cluster017,7
ncbi_tid|1274814|ref|NC_020163.1_cluster018,11
ncbi_tid|1274814|ref|NC_020163.1_cluster019,12
ncbi_tid|1274814|ref|NC_020163.1_cluster020,9
ncbi_tid|1274814|ref|NC_020163.1_cluster021,10
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster001,1
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster002,2
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster003,3
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster004,4
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster005,5
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster006,6
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster007,4
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster008,7
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster009,8
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster010,17
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster011,9
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster012,10
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster013,6
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster014,1
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster015,4
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster016,8
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster017,7
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster018,11
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster019,12
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster020,9
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster021,10
ncbi_tid|1311757|ref|NZ_CP007442.1_cluster022,17
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster001,10
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster002,6
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster003,13
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster004,10
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster005,9
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster006,12
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster007,11
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster008,15
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster009,7
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster010,8
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster011,2
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster012,2
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster013,8
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster014,5
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster015,6
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster016,6
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster017,5
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster018,3
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster019,2
ncbi_tid|1322345|ref|NZ_CP009072.1_cluster020,9
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster001,1
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster002,2
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster003,3
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster004,4
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster005,5
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster006,8
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster007,6
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster008,4
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster009,8
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster010,9
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster011,10
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster012,6
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster013,1
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster014,4
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster015,8
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster016,7
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster017,12
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster018,6
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster019,9
ncbi_tid|1328859|ref|NZ_CP008805.1_cluster020,10
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster001,17
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster002,9
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster003,10
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster004,6
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster005,8
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster006,7
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster007,11
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster008,12
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster009,9
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster010,10
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster011,13
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster012,17
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster013,2
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster014,3
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster015,4
